,State,Year,Quater,Disrict,Reg_users
8346,gaya district,2021,4,gaya district,721905
8347,samastipur district,2021,4,samastipur district,630218
8348,banka district,2021,4,banka district,216263
8349,purbi champaran district,2021,4,purbi champaran district,853893
8350,sheohar district,2021,4,sheohar district,73732
8351,bhojpur district,2021,4,bhojpur district,422123
8352,madhepura district,2022,1,madhepura district,280094
8353,purnia district,2022,1,purnia district,504801
8354,nalanda district,2022,1,nalanda district,563049
8355,buxar district,2022,1,buxar district,263663
8356,darbhanga district,2022,1,darbhanga district,669850
8357,nawada district,2022,1,nawada district,328635
8358,jamui district,2022,1,jamui district,252094
8359,sheikhpura district,2022,1,sheikhpura district,95718
8360,siwan district,2022,1,siwan district,589829
8361,muzaffarpur district,2022,1,muzaffarpur district,962924
8362,patna district,2022,1,patna district,2443356
8363,jehanabad district,2022,1,jehanabad district,181455
8364,rohtas district,2022,1,rohtas district,537701
8365,begusarai district,2022,1,begusarai district,493845
8366,supaul district,2022,1,supaul district,313291
8367,sitamarhi district,2022,1,sitamarhi district,461979
8368,saran district,2022,1,saran district,673849
8369,arwal district,2022,1,arwal district,101813
8370,vaishali district,2022,1,vaishali district,614159
8371,pashchim champaran district,2022,1,pashchim champaran district,692182
8372,gopalganj district,2022,1,gopalganj district,461794
8373,lakhisarai district,2022,1,lakhisarai district,156781
8374,aurangabad district,2022,1,aurangabad district,405254
8375,kaimur bhabua district,2022,1,kaimur bhabua district,223072
8376,araria district,2022,1,araria district,370029
8377,munger district,2022,1,munger district,250357
8378,katihar district,2022,1,katihar district,438584
8379,khagaria district,2022,1,khagaria district,239286
8380,saharsa district,2022,1,saharsa district,301372
8381,bhagalpur district,2022,1,bhagalpur district,610174
8382,madhubani district,2022,1,madhubani district,672303
8383,kishanganj district,2022,1,kishanganj district,216915
8384,gaya district,2022,1,gaya district,769265
8385,samastipur district,2022,1,samastipur district,672508
8386,banka district,2022,1,banka district,231228
8387,purbi champaran district,2022,1,purbi champaran district,912427
8388,sheohar district,2022,1,sheohar district,78832
8389,bhojpur district,2022,1,bhojpur district,450190
8390,madhepura district,2022,1,madhepura district,280094
8391,purnia district,2022,1,purnia district,504801
8392,nalanda district,2022,1,nalanda district,563049
8393,buxar district,2022,1,buxar district,263663
8394,darbhanga district,2022,1,darbhanga district,669850
8395,nawada district,2022,1,nawada district,328635
8396,jamui district,2022,1,jamui district,252094
8397,sheikhpura district,2022,1,sheikhpura district,95718
8398,siwan district,2022,1,siwan district,589829
8399,muzaffarpur district,2022,1,muzaffarpur district,962924
8400,patna district,2022,1,patna district,2443356
8401,jehanabad district,2022,1,jehanabad district,181455
8402,rohtas district,2022,1,rohtas district,537701
8403,begusarai district,2022,1,begusarai district,493845
8404,supaul district,2022,1,supaul district,313291
8405,sitamarhi district,2022,1,sitamarhi district,461979
8406,saran district,2022,1,saran district,673849
8407,arwal district,2022,1,arwal district,101813
8408,vaishali district,2022,1,vaishali district,614159
8409,pashchim champaran district,2022,1,pashchim champaran district,692182
8410,gopalganj district,2022,1,gopalganj district,461794
8411,lakhisarai district,2022,1,lakhisarai district,156781
8412,aurangabad district,2022,1,aurangabad district,405254
8413,kaimur bhabua district,2022,1,kaimur bhabua district,223072
8414,araria district,2022,1,araria district,370029
8415,munger district,2022,1,munger district,250357
8416,katihar district,2022,1,katihar district,438584
8417,khagaria district,2022,1,khagaria district,239286
8418,saharsa district,2022,1,saharsa district,301372
8419,bhagalpur district,2022,1,bhagalpur district,610174
8420,madhubani district,2022,1,madhubani district,672303
8421,kishanganj district,2022,1,kishanganj district,216915
8422,gaya district,2022,1,gaya district,769265
8423,samastipur district,2022,1,samastipur district,672508
8424,banka district,2022,1,banka district,231228
8425,purbi champaran district,2022,1,purbi champaran district,912427
8426,sheohar district,2022,1,sheohar district,78832
8427,bhojpur district,2022,1,bhojpur district,450190
8428,madhepura district,2022,1,madhepura district,280094
8429,purnia district,2022,1,purnia district,504801
8430,nalanda district,2022,1,nalanda district,563049
8431,buxar district,2022,1,buxar district,263663
8432,darbhanga district,2022,1,darbhanga district,669850
8433,nawada district,2022,1,nawada district,328635
8434,jamui district,2022,1,jamui district,252094
8435,sheikhpura district,2022,1,sheikhpura district,95718
8436,siwan district,2022,1,siwan district,589829
8437,muzaffarpur district,2022,1,muzaffarpur district,962924
8438,patna district,2022,1,patna district,2443356
8439,jehanabad district,2022,1,jehanabad district,181455
8440,rohtas district,2022,1,rohtas district,537701
8441,begusarai district,2022,1,begusarai district,493845
8442,supaul district,2022,1,supaul district,313291
8443,sitamarhi district,2022,1,sitamarhi district,461979
8444,saran district,2022,1,saran district,673849
8445,arwal district,2022,1,arwal district,101813
8446,vaishali district,2022,1,vaishali district,614159
8447,pashchim champaran district,2022,1,pashchim champaran district,692182
8448,gopalganj district,2022,1,gopalganj district,461794
8449,lakhisarai district,2022,1,lakhisarai district,156781
8450,aurangabad district,2022,1,aurangabad district,405254
8451,kaimur bhabua district,2022,1,kaimur bhabua district,223072
8452,araria district,2022,1,araria district,370029
8453,munger district,2022,1,munger district,250357
8454,katihar district,2022,1,katihar district,438584
8455,khagaria district,2022,1,khagaria district,239286
8456,saharsa district,2022,1,saharsa district,301372
8457,bhagalpur district,2022,1,bhagalpur district,610174
8458,madhubani district,2022,1,madhubani district,672303
8459,kishanganj district,2022,1,kishanganj district,216915
8460,gaya district,2022,1,gaya district,769265
8461,samastipur district,2022,1,samastipur district,672508
8462,banka district,2022,1,banka district,231228
8463,purbi champaran district,2022,1,purbi champaran district,912427
8464,sheohar district,2022,1,sheohar district,78832
8465,bhojpur district,2022,1,bhojpur district,450190
8466,madhepura district,2022,1,madhepura district,280094
8467,purnia district,2022,1,purnia district,504801
8468,nalanda district,2022,1,nalanda district,563049
8469,buxar district,2022,1,buxar district,263663
8470,darbhanga district,2022,1,darbhanga district,669850
8471,nawada district,2022,1,nawada district,328635
8472,jamui district,2022,1,jamui district,252094
8473,sheikhpura district,2022,1,sheikhpura district,95718
8474,siwan district,2022,1,siwan district,589829
8475,muzaffarpur district,2022,1,muzaffarpur district,962924
8476,patna district,2022,1,patna district,2443356
8477,jehanabad district,2022,1,jehanabad district,181455
8478,rohtas district,2022,1,rohtas district,537701
8479,begusarai district,2022,1,begusarai district,493845
8480,supaul district,2022,1,supaul district,313291
8481,sitamarhi district,2022,1,sitamarhi district,461979
8482,saran district,2022,1,saran district,673849
8483,arwal district,2022,1,arwal district,101813
8484,vaishali district,2022,1,vaishali district,614159
8485,pashchim champaran district,2022,1,pashchim champaran district,692182
8486,gopalganj district,2022,1,gopalganj district,461794
8487,lakhisarai district,2022,1,lakhisarai district,156781
8488,aurangabad district,2022,1,aurangabad district,405254
8489,kaimur bhabua district,2022,1,kaimur bhabua district,223072
8490,araria district,2022,1,araria district,370029
8491,munger district,2022,1,munger district,250357
8492,katihar district,2022,1,katihar district,438584
8493,khagaria district,2022,1,khagaria district,239286
8494,saharsa district,2022,1,saharsa district,301372
8495,bhagalpur district,2022,1,bhagalpur district,610174
8496,madhubani district,2022,1,madhubani district,672303
8497,kishanganj district,2022,1,kishanganj district,216915
8498,gaya district,2022,1,gaya district,769265
8499,samastipur district,2022,1,samastipur district,672508
8500,banka district,2022,1,banka district,231228
8501,purbi champaran district,2022,1,purbi champaran district,912427
8502,sheohar district,2022,1,sheohar district,78832
8503,bhojpur district,2022,1,bhojpur district,450190
8504,madhepura district,2022,2,madhepura district,296711
8505,purnia district,2022,2,purnia district,534713
8506,nalanda district,2022,2,nalanda district,595960
8507,buxar district,2022,2,buxar district,279169
8508,darbhanga district,2022,2,darbhanga district,708828
8509,nawada district,2022,2,nawada district,348128
8510,jamui district,2022,2,jamui district,267040
8511,sheikhpura district,2022,2,sheikhpura district,101333
8512,siwan district,2022,2,siwan district,625266
8513,muzaffarpur district,2022,2,muzaffarpur district,1018560
8514,patna district,2022,2,patna district,2577123
8515,jehanabad district,2022,2,jehanabad district,192101
8516,rohtas district,2022,2,rohtas district,569818
8517,begusarai district,2022,2,begusarai district,522522
8518,supaul district,2022,2,supaul district,331990
8519,sitamarhi district,2022,2,sitamarhi district,489836
8520,saran district,2022,2,saran district,714109
8521,arwal district,2022,2,arwal district,108033
8522,vaishali district,2022,2,vaishali district,650319
8523,pashchim champaran district,2022,2,pashchim champaran district,734476
8524,gopalganj district,2022,2,gopalganj district,489448
8525,lakhisarai district,2022,2,lakhisarai district,165876
8526,aurangabad district,2022,2,aurangabad district,429493
8527,kaimur bhabua district,2022,2,kaimur bhabua district,236482
8528,araria district,2022,2,araria district,392076
8529,munger district,2022,2,munger district,264683
8530,katihar district,2022,2,katihar district,464782
8531,khagaria district,2022,2,khagaria district,253856
8532,saharsa district,2022,2,saharsa district,319345
8533,bhagalpur district,2022,2,bhagalpur district,645479
8534,madhubani district,2022,2,madhubani district,711897
8535,kishanganj district,2022,2,kishanganj district,229908
8536,gaya district,2022,2,gaya district,814180
8537,samastipur district,2022,2,samastipur district,712626
8538,banka district,2022,2,banka district,245267
8539,purbi champaran district,2022,2,purbi champaran district,967838
8540,sheohar district,2022,2,sheohar district,83701
8541,bhojpur district,2022,2,bhojpur district,476922
8542,madhepura district,2022,2,madhepura district,296711
8543,purnia district,2022,2,purnia district,534713
8544,nalanda district,2022,2,nalanda district,595960
8545,buxar district,2022,2,buxar district,279169
8546,darbhanga district,2022,2,darbhanga district,708828
8547,nawada district,2022,2,nawada district,348128
8548,jamui district,2022,2,jamui district,267040
8549,sheikhpura district,2022,2,sheikhpura district,101333
8550,siwan district,2022,2,siwan district,625266
8551,muzaffarpur district,2022,2,muzaffarpur district,1018560
8552,patna district,2022,2,patna district,2577123
8553,jehanabad district,2022,2,jehanabad district,192101
8554,rohtas district,2022,2,rohtas district,569818
8555,begusarai district,2022,2,begusarai district,522522
8556,supaul district,2022,2,supaul district,331990
8557,sitamarhi district,2022,2,sitamarhi district,489836
8558,saran district,2022,2,saran district,714109
8559,arwal district,2022,2,arwal district,108033
8560,vaishali district,2022,2,vaishali district,650319
8561,pashchim champaran district,2022,2,pashchim champaran district,734476
8562,gopalganj district,2022,2,gopalganj district,489448
8563,lakhisarai district,2022,2,lakhisarai district,165876
8564,aurangabad district,2022,2,aurangabad district,429493
8565,kaimur bhabua district,2022,2,kaimur bhabua district,236482
8566,araria district,2022,2,araria district,392076
8567,munger district,2022,2,munger district,264683
8568,katihar district,2022,2,katihar district,464782
8569,khagaria district,2022,2,khagaria district,253856
8570,saharsa district,2022,2,saharsa district,319345
8571,bhagalpur district,2022,2,bhagalpur district,645479
8572,madhubani district,2022,2,madhubani district,711897
8573,kishanganj district,2022,2,kishanganj district,229908
8574,gaya district,2022,2,gaya district,814180
8575,samastipur district,2022,2,samastipur district,712626
8576,banka district,2022,2,banka district,245267
8577,purbi champaran district,2022,2,purbi champaran district,967838
8578,sheohar district,2022,2,sheohar district,83701
8579,bhojpur district,2022,2,bhojpur district,476922
8580,madhepura district,2022,2,madhepura district,296711
8581,purnia district,2022,2,purnia district,534713
8582,nalanda district,2022,2,nalanda district,595960
8583,buxar district,2022,2,buxar district,279169
8584,darbhanga district,2022,2,darbhanga district,708828
8585,nawada district,2022,2,nawada district,348128
8586,jamui district,2022,2,jamui district,267040
8587,sheikhpura district,2022,2,sheikhpura district,101333
8588,siwan district,2022,2,siwan district,625266
8589,muzaffarpur district,2022,2,muzaffarpur district,1018560
8590,patna district,2022,2,patna district,2577123
8591,jehanabad district,2022,2,jehanabad district,192101
8592,rohtas district,2022,2,rohtas district,569818
8593,begusarai district,2022,2,begusarai district,522522
8594,supaul district,2022,2,supaul district,331990
8595,sitamarhi district,2022,2,sitamarhi district,489836
8596,saran district,2022,2,saran district,714109
8597,arwal district,2022,2,arwal district,108033
8598,vaishali district,2022,2,vaishali district,650319
8599,pashchim champaran district,2022,2,pashchim champaran district,734476
8600,gopalganj district,2022,2,gopalganj district,489448
8601,lakhisarai district,2022,2,lakhisarai district,165876
8602,aurangabad district,2022,2,aurangabad district,429493
8603,kaimur bhabua district,2022,2,kaimur bhabua district,236482
8604,araria district,2022,2,araria district,392076
8605,munger district,2022,2,munger district,264683
8606,katihar district,2022,2,katihar district,464782
8607,khagaria district,2022,2,khagaria district,253856
8608,saharsa district,2022,2,saharsa district,319345
8609,bhagalpur district,2022,2,bhagalpur district,645479
8610,madhubani district,2022,2,madhubani district,711897
8611,kishanganj district,2022,2,kishanganj district,229908
8612,gaya district,2022,2,gaya district,814180
8613,samastipur district,2022,2,samastipur district,712626
8614,banka district,2022,2,banka district,245267
8615,purbi champaran district,2022,2,purbi champaran district,967838
8616,sheohar district,2022,2,sheohar district,83701
8617,bhojpur district,2022,2,bhojpur district,476922
8618,madhepura district,2022,2,madhepura district,296711
8619,purnia district,2022,2,purnia district,534713
8620,nalanda district,2022,2,nalanda district,595960
8621,buxar district,2022,2,buxar district,279169
8622,darbhanga district,2022,2,darbhanga district,708828
8623,nawada district,2022,2,nawada district,348128
8624,jamui district,2022,2,jamui district,267040
8625,sheikhpura district,2022,2,sheikhpura district,101333
8626,siwan district,2022,2,siwan district,625266
8627,muzaffarpur district,2022,2,muzaffarpur district,1018560
8628,patna district,2022,2,patna district,2577123
8629,jehanabad district,2022,2,jehanabad district,192101
8630,rohtas district,2022,2,rohtas district,569818
8631,begusarai district,2022,2,begusarai district,522522
8632,supaul district,2022,2,supaul district,331990
8633,sitamarhi district,2022,2,sitamarhi district,489836
8634,saran district,2022,2,saran district,714109
8635,arwal district,2022,2,arwal district,108033
8636,vaishali district,2022,2,vaishali district,650319
8637,pashchim champaran district,2022,2,pashchim champaran district,734476
8638,gopalganj district,2022,2,gopalganj district,489448
8639,lakhisarai district,2022,2,lakhisarai district,165876
8640,aurangabad district,2022,2,aurangabad district,429493
8641,kaimur bhabua district,2022,2,kaimur bhabua district,236482
8642,araria district,2022,2,araria district,392076
8643,munger district,2022,2,munger district,264683
8644,katihar district,2022,2,katihar district,464782
8645,khagaria district,2022,2,khagaria district,253856
8646,saharsa district,2022,2,saharsa district,319345
8647,bhagalpur district,2022,2,bhagalpur district,645479
8648,madhubani district,2022,2,madhubani district,711897
8649,kishanganj district,2022,2,kishanganj district,229908
8650,gaya district,2022,2,gaya district,814180
8651,samastipur district,2022,2,samastipur district,712626
8652,banka district,2022,2,banka district,245267
8653,purbi champaran district,2022,2,purbi champaran district,967838
8654,sheohar district,2022,2,sheohar district,83701
8655,bhojpur district,2022,2,bhojpur district,476922
8656,madhepura district,2022,3,madhepura district,313960
8657,purnia district,2022,3,purnia district,565515
8658,nalanda district,2022,3,nalanda district,629780
8659,buxar district,2022,3,buxar district,295108
8660,darbhanga district,2022,3,darbhanga district,749430
8661,nawada district,2022,3,nawada district,368086
8662,jamui district,2022,3,jamui district,282221
8663,sheikhpura district,2022,3,sheikhpura district,107101
8664,siwan district,2022,3,siwan district,662330
8665,muzaffarpur district,2022,3,muzaffarpur district,1077200
8666,patna district,2022,3,patna district,2716533
8667,jehanabad district,2022,3,jehanabad district,203185
8668,rohtas district,2022,3,rohtas district,603031
8669,begusarai district,2022,3,begusarai district,552515
8670,supaul district,2022,3,supaul district,351009
8671,sitamarhi district,2022,3,sitamarhi district,518667
8672,saran district,2022,3,saran district,756293
8673,arwal district,2022,3,arwal district,114283
8674,vaishali district,2022,3,vaishali district,688248
8675,pashchim champaran district,2022,3,pashchim champaran district,777977
8676,gopalganj district,2022,3,gopalganj district,518406
8677,lakhisarai district,2022,3,lakhisarai district,175377
8678,aurangabad district,2022,3,aurangabad district,454222
8679,kaimur bhabua district,2022,3,kaimur bhabua district,249931
8680,araria district,2022,3,araria district,414664
8681,munger district,2022,3,munger district,279807
8682,katihar district,2022,3,katihar district,491899
8683,khagaria district,2022,3,khagaria district,268959
8684,saharsa district,2022,3,saharsa district,337915
8685,bhagalpur district,2022,3,bhagalpur district,682584
8686,madhubani district,2022,3,madhubani district,753153
8687,kishanganj district,2022,3,kishanganj district,242898
8688,gaya district,2022,3,gaya district,859903
8689,samastipur district,2022,3,samastipur district,754322
8690,banka district,2022,3,banka district,258927
8691,purbi champaran district,2022,3,purbi champaran district,1025772
8692,sheohar district,2022,3,sheohar district,88685
8693,bhojpur district,2022,3,bhojpur district,504480
8694,madhepura district,2022,3,madhepura district,313960
8695,purnia district,2022,3,purnia district,565515
8696,nalanda district,2022,3,nalanda district,629780
8697,buxar district,2022,3,buxar district,295108
8698,darbhanga district,2022,3,darbhanga district,749430
8699,nawada district,2022,3,nawada district,368086
8700,jamui district,2022,3,jamui district,282221
8701,sheikhpura district,2022,3,sheikhpura district,107101
8702,siwan district,2022,3,siwan district,662330
8703,muzaffarpur district,2022,3,muzaffarpur district,1077200
8704,patna district,2022,3,patna district,2716533
8705,jehanabad district,2022,3,jehanabad district,203185
8706,rohtas district,2022,3,rohtas district,603031
8707,begusarai district,2022,3,begusarai district,552515
8708,supaul district,2022,3,supaul district,351009
8709,sitamarhi district,2022,3,sitamarhi district,518667
8710,saran district,2022,3,saran district,756293
8711,arwal district,2022,3,arwal district,114283
8712,vaishali district,2022,3,vaishali district,688248
8713,pashchim champaran district,2022,3,pashchim champaran district,777977
8714,gopalganj district,2022,3,gopalganj district,518406
8715,lakhisarai district,2022,3,lakhisarai district,175377
8716,aurangabad district,2022,3,aurangabad district,454222
8717,kaimur bhabua district,2022,3,kaimur bhabua district,249931
8718,araria district,2022,3,araria district,414664
8719,munger district,2022,3,munger district,279807
8720,katihar district,2022,3,katihar district,491899
8721,khagaria district,2022,3,khagaria district,268959
8722,saharsa district,2022,3,saharsa district,337915
8723,bhagalpur district,2022,3,bhagalpur district,682584
8724,madhubani district,2022,3,madhubani district,753153
8725,kishanganj district,2022,3,kishanganj district,242898
8726,gaya district,2022,3,gaya district,859903
8727,samastipur district,2022,3,samastipur district,754322
8728,banka district,2022,3,banka district,258927
8729,purbi champaran district,2022,3,purbi champaran district,1025772
8730,sheohar district,2022,3,sheohar district,88685
8731,bhojpur district,2022,3,bhojpur district,504480
8732,madhepura district,2022,3,madhepura district,313960
8733,purnia district,2022,3,purnia district,565515
8734,nalanda district,2022,3,nalanda district,629780
8735,buxar district,2022,3,buxar district,295108
8736,darbhanga district,2022,3,darbhanga district,749430
8737,nawada district,2022,3,nawada district,368086
8738,jamui district,2022,3,jamui district,282221
8739,sheikhpura district,2022,3,sheikhpura district,107101
8740,siwan district,2022,3,siwan district,662330
8741,muzaffarpur district,2022,3,muzaffarpur district,1077200
8742,patna district,2022,3,patna district,2716533
8743,jehanabad district,2022,3,jehanabad district,203185
8744,rohtas district,2022,3,rohtas district,603031
8745,begusarai district,2022,3,begusarai district,552515
8746,supaul district,2022,3,supaul district,351009
8747,sitamarhi district,2022,3,sitamarhi district,518667
8748,saran district,2022,3,saran district,756293
8749,arwal district,2022,3,arwal district,114283
8750,vaishali district,2022,3,vaishali district,688248
8751,pashchim champaran district,2022,3,pashchim champaran district,777977
8752,gopalganj district,2022,3,gopalganj district,518406
8753,lakhisarai district,2022,3,lakhisarai district,175377
8754,aurangabad district,2022,3,aurangabad district,454222
8755,kaimur bhabua district,2022,3,kaimur bhabua district,249931
8756,araria district,2022,3,araria district,414664
8757,munger district,2022,3,munger district,279807
8758,katihar district,2022,3,katihar district,491899
8759,khagaria district,2022,3,khagaria district,268959
8760,saharsa district,2022,3,saharsa district,337915
8761,bhagalpur district,2022,3,bhagalpur district,682584
8762,madhubani district,2022,3,madhubani district,753153
8763,kishanganj district,2022,3,kishanganj district,242898
8764,gaya district,2022,3,gaya district,859903
8765,samastipur district,2022,3,samastipur district,754322
8766,banka district,2022,3,banka district,258927
8767,purbi champaran district,2022,3,purbi champaran district,1025772
8768,sheohar district,2022,3,sheohar district,88685
8769,bhojpur district,2022,3,bhojpur district,504480
8770,madhepura district,2022,3,madhepura district,313960
8771,purnia district,2022,3,purnia district,565515
8772,nalanda district,2022,3,nalanda district,629780
8773,buxar district,2022,3,buxar district,295108
8774,darbhanga district,2022,3,darbhanga district,749430
8775,nawada district,2022,3,nawada district,368086
8776,jamui district,2022,3,jamui district,282221
8777,sheikhpura district,2022,3,sheikhpura district,107101
8778,siwan district,2022,3,siwan district,662330
8779,muzaffarpur district,2022,3,muzaffarpur district,1077200
8780,patna district,2022,3,patna district,2716533
8781,jehanabad district,2022,3,jehanabad district,203185
8782,rohtas district,2022,3,rohtas district,603031
8783,begusarai district,2022,3,begusarai district,552515
8784,supaul district,2022,3,supaul district,351009
8785,sitamarhi district,2022,3,sitamarhi district,518667
8786,saran district,2022,3,saran district,756293
8787,arwal district,2022,3,arwal district,114283
8788,vaishali district,2022,3,vaishali district,688248
8789,pashchim champaran district,2022,3,pashchim champaran district,777977
8790,gopalganj district,2022,3,gopalganj district,518406
8791,lakhisarai district,2022,3,lakhisarai district,175377
8792,aurangabad district,2022,3,aurangabad district,454222
8793,kaimur bhabua district,2022,3,kaimur bhabua district,249931
8794,araria district,2022,3,araria district,414664
8795,munger district,2022,3,munger district,279807
8796,katihar district,2022,3,katihar district,491899
8797,khagaria district,2022,3,khagaria district,268959
8798,saharsa district,2022,3,saharsa district,337915
8799,bhagalpur district,2022,3,bhagalpur district,682584
8800,madhubani district,2022,3,madhubani district,753153
8801,kishanganj district,2022,3,kishanganj district,242898
8802,gaya district,2022,3,gaya district,859903
8803,samastipur district,2022,3,samastipur district,754322
8804,banka district,2022,3,banka district,258927
8805,purbi champaran district,2022,3,purbi champaran district,1025772
8806,sheohar district,2022,3,sheohar district,88685
8807,bhojpur district,2022,3,bhojpur district,504480
8808,madhepura district,2022,4,madhepura district,329562
8809,purnia district,2022,4,purnia district,593232
8810,nalanda district,2022,4,nalanda district,662033
8811,buxar district,2022,4,buxar district,309618
8812,darbhanga district,2022,4,darbhanga district,787306
8813,nawada district,2022,4,nawada district,386468
8814,jamui district,2022,4,jamui district,295526
8815,sheikhpura district,2022,4,sheikhpura district,112165
8816,siwan district,2022,4,siwan district,696350
8817,muzaffarpur district,2022,4,muzaffarpur district,1132096
8818,patna district,2022,4,patna district,2854738
8819,jehanabad district,2022,4,jehanabad district,213299
8820,rohtas district,2022,4,rohtas district,633339
8821,begusarai district,2022,4,begusarai district,580490
8822,supaul district,2022,4,supaul district,368012
8823,sitamarhi district,2022,4,sitamarhi district,545122
8824,saran district,2022,4,saran district,795553
8825,arwal district,2022,4,arwal district,120018
8826,vaishali district,2022,4,vaishali district,723338
8827,pashchim champaran district,2022,4,pashchim champaran district,817644
8828,gopalganj district,2022,4,gopalganj district,544789
8829,lakhisarai district,2022,4,lakhisarai district,184080
8830,aurangabad district,2022,4,aurangabad district,476502
8831,kaimur bhabua district,2022,4,kaimur bhabua district,261997
8832,araria district,2022,4,araria district,434826
8833,munger district,2022,4,munger district,293955
8834,katihar district,2022,4,katihar district,516972
8835,khagaria district,2022,4,khagaria district,282678
8836,saharsa district,2022,4,saharsa district,354933
8837,bhagalpur district,2022,4,bhagalpur district,717627
8838,madhubani district,2022,4,madhubani district,790218
8839,kishanganj district,2022,4,kishanganj district,254250
8840,gaya district,2022,4,gaya district,902593
8841,samastipur district,2022,4,samastipur district,793296
8842,banka district,2022,4,banka district,270790
8843,purbi champaran district,2022,4,purbi champaran district,1079466
8844,sheohar district,2022,4,sheohar district,93194
8845,bhojpur district,2022,4,bhojpur district,530042
8846,madhepura district,2022,4,madhepura district,329562
8847,purnia district,2022,4,purnia district,593232
8848,nalanda district,2022,4,nalanda district,662033
8849,buxar district,2022,4,buxar district,309618
8850,darbhanga district,2022,4,darbhanga district,787306
8851,nawada district,2022,4,nawada district,386468
8852,jamui district,2022,4,jamui district,295526
8853,sheikhpura district,2022,4,sheikhpura district,112165
8854,siwan district,2022,4,siwan district,696350
8855,muzaffarpur district,2022,4,muzaffarpur district,1132096
8856,patna district,2022,4,patna district,2854738
8857,jehanabad district,2022,4,jehanabad district,213299
8858,rohtas district,2022,4,rohtas district,633339
8859,begusarai district,2022,4,begusarai district,580490
8860,supaul district,2022,4,supaul district,368012
8861,sitamarhi district,2022,4,sitamarhi district,545122
8862,saran district,2022,4,saran district,795553
8863,arwal district,2022,4,arwal district,120018
8864,vaishali district,2022,4,vaishali district,723338
8865,pashchim champaran district,2022,4,pashchim champaran district,817644
8866,gopalganj district,2022,4,gopalganj district,544789
8867,lakhisarai district,2022,4,lakhisarai district,184080
8868,aurangabad district,2022,4,aurangabad district,476502
8869,kaimur bhabua district,2022,4,kaimur bhabua district,261997
8870,araria district,2022,4,araria district,434826
8871,munger district,2022,4,munger district,293955
8872,katihar district,2022,4,katihar district,516972
8873,khagaria district,2022,4,khagaria district,282678
8874,saharsa district,2022,4,saharsa district,354933
8875,bhagalpur district,2022,4,bhagalpur district,717627
8876,madhubani district,2022,4,madhubani district,790218
8877,kishanganj district,2022,4,kishanganj district,254250
8878,gaya district,2022,4,gaya district,902593
8879,samastipur district,2022,4,samastipur district,793296
8880,banka district,2022,4,banka district,270790
8881,purbi champaran district,2022,4,purbi champaran district,1079466
8882,sheohar district,2022,4,sheohar district,93194
8883,bhojpur district,2022,4,bhojpur district,530042
8884,madhepura district,2022,4,madhepura district,329562
8885,purnia district,2022,4,purnia district,593232
8886,nalanda district,2022,4,nalanda district,662033
8887,buxar district,2022,4,buxar district,309618
8888,darbhanga district,2022,4,darbhanga district,787306
8889,nawada district,2022,4,nawada district,386468
8890,jamui district,2022,4,jamui district,295526
8891,sheikhpura district,2022,4,sheikhpura district,112165
8892,siwan district,2022,4,siwan district,696350
8893,muzaffarpur district,2022,4,muzaffarpur district,1132096
8894,patna district,2022,4,patna district,2854738
8895,jehanabad district,2022,4,jehanabad district,213299
8896,rohtas district,2022,4,rohtas district,633339
8897,begusarai district,2022,4,begusarai district,580490
8898,supaul district,2022,4,supaul district,368012
8899,sitamarhi district,2022,4,sitamarhi district,545122
8900,saran district,2022,4,saran district,795553
8901,arwal district,2022,4,arwal district,120018
8902,vaishali district,2022,4,vaishali district,723338
8903,pashchim champaran district,2022,4,pashchim champaran district,817644
8904,gopalganj district,2022,4,gopalganj district,544789
8905,lakhisarai district,2022,4,lakhisarai district,184080
8906,aurangabad district,2022,4,aurangabad district,476502
8907,kaimur bhabua district,2022,4,kaimur bhabua district,261997
8908,araria district,2022,4,araria district,434826
8909,munger district,2022,4,munger district,293955
8910,katihar district,2022,4,katihar district,516972
8911,khagaria district,2022,4,khagaria district,282678
8912,saharsa district,2022,4,saharsa district,354933
8913,bhagalpur district,2022,4,bhagalpur district,717627
8914,madhubani district,2022,4,madhubani district,790218
8915,kishanganj district,2022,4,kishanganj district,254250
8916,gaya district,2022,4,gaya district,902593
8917,samastipur district,2022,4,samastipur district,793296
8918,banka district,2022,4,banka district,270790
8919,purbi champaran district,2022,4,purbi champaran district,1079466
8920,sheohar district,2022,4,sheohar district,93194
8921,bhojpur district,2022,4,bhojpur district,530042
8922,madhepura district,2022,4,madhepura district,329562
8923,purnia district,2022,4,purnia district,593232
8924,nalanda district,2022,4,nalanda district,662033
8925,buxar district,2022,4,buxar district,309618
8926,darbhanga district,2022,4,darbhanga district,787306
8927,nawada district,2022,4,nawada district,386468
8928,jamui district,2022,4,jamui district,295526
8929,sheikhpura district,2022,4,sheikhpura district,112165
8930,siwan district,2022,4,siwan district,696350
8931,muzaffarpur district,2022,4,muzaffarpur district,1132096
8932,patna district,2022,4,patna district,2854738
8933,jehanabad district,2022,4,jehanabad district,213299
8934,rohtas district,2022,4,rohtas district,633339
8935,begusarai district,2022,4,begusarai district,580490
8936,supaul district,2022,4,supaul district,368012
8937,sitamarhi district,2022,4,sitamarhi district,545122
8938,saran district,2022,4,saran district,795553
8939,arwal district,2022,4,arwal district,120018
8940,vaishali district,2022,4,vaishali district,723338
8941,pashchim champaran district,2022,4,pashchim champaran district,817644
