,State,Year,Quater,Disrict,Reg_users
34279,ribhoi district,2021,4,ribhoi district,23562
34280,west jaintia hills district,2021,4,west jaintia hills district,11189
34281,west khasi hills district,2021,4,west khasi hills district,6428
34282,north garo hills district,2021,4,north garo hills district,8212
34283,south west khasi hills district,2021,4,south west khasi hills district,1986
34284,west garo hills district,2021,4,west garo hills district,51617
34285,south garo hills district,2021,4,south garo hills district,7005
34286,east jaintia hills district,2021,4,east jaintia hills district,17115
34287,south west garo hills district,2021,4,south west garo hills district,8197
34288,east khasi hills district,2021,4,east khasi hills district,96942
34289,east garo hills district,2021,4,east garo hills district,8015
34290,ribhoi district,2021,4,ribhoi district,23562
34291,west jaintia hills district,2021,4,west jaintia hills district,11189
34292,west khasi hills district,2021,4,west khasi hills district,6428
34293,north garo hills district,2021,4,north garo hills district,8212
34294,south west khasi hills district,2021,4,south west khasi hills district,1986
34295,west garo hills district,2021,4,west garo hills district,51617
34296,south garo hills district,2021,4,south garo hills district,7005
34297,east jaintia hills district,2021,4,east jaintia hills district,17115
34298,south west garo hills district,2021,4,south west garo hills district,8197
34299,east khasi hills district,2021,4,east khasi hills district,96942
34300,east garo hills district,2021,4,east garo hills district,8015
34301,ribhoi district,2021,4,ribhoi district,23562
34302,west jaintia hills district,2021,4,west jaintia hills district,11189
34303,west khasi hills district,2021,4,west khasi hills district,6428
34304,north garo hills district,2022,1,north garo hills district,8795
34305,south west khasi hills district,2022,1,south west khasi hills district,2130
34306,west garo hills district,2022,1,west garo hills district,55028
34307,south garo hills district,2022,1,south garo hills district,7508
34308,east jaintia hills district,2022,1,east jaintia hills district,18301
34309,south west garo hills district,2022,1,south west garo hills district,8758
34310,east khasi hills district,2022,1,east khasi hills district,102838
34311,east garo hills district,2022,1,east garo hills district,8578
34312,ribhoi district,2022,1,ribhoi district,25112
34313,west jaintia hills district,2022,1,west jaintia hills district,11952
34314,west khasi hills district,2022,1,west khasi hills district,6839
34315,north garo hills district,2022,1,north garo hills district,8795
34316,south west khasi hills district,2022,1,south west khasi hills district,2130
34317,west garo hills district,2022,1,west garo hills district,55028
34318,south garo hills district,2022,1,south garo hills district,7508
34319,east jaintia hills district,2022,1,east jaintia hills district,18301
34320,south west garo hills district,2022,1,south west garo hills district,8758
34321,east khasi hills district,2022,1,east khasi hills district,102838
34322,east garo hills district,2022,1,east garo hills district,8578
34323,ribhoi district,2022,1,ribhoi district,25112
34324,west jaintia hills district,2022,1,west jaintia hills district,11952
34325,west khasi hills district,2022,1,west khasi hills district,6839
34326,north garo hills district,2022,1,north garo hills district,8795
34327,south west khasi hills district,2022,1,south west khasi hills district,2130
34328,west garo hills district,2022,1,west garo hills district,55028
34329,south garo hills district,2022,1,south garo hills district,7508
34330,east jaintia hills district,2022,1,east jaintia hills district,18301
34331,south west garo hills district,2022,1,south west garo hills district,8758
34332,east khasi hills district,2022,1,east khasi hills district,102838
34333,east garo hills district,2022,1,east garo hills district,8578
34334,ribhoi district,2022,1,ribhoi district,25112
34335,west jaintia hills district,2022,1,west jaintia hills district,11952
34336,west khasi hills district,2022,1,west khasi hills district,6839
34337,north garo hills district,2022,1,north garo hills district,8795
34338,south west khasi hills district,2022,1,south west khasi hills district,2130
34339,west garo hills district,2022,1,west garo hills district,55028
34340,south garo hills district,2022,1,south garo hills district,7508
34341,east jaintia hills district,2022,1,east jaintia hills district,18301
34342,south west garo hills district,2022,1,south west garo hills district,8758
34343,east khasi hills district,2022,1,east khasi hills district,102838
34344,east garo hills district,2022,1,east garo hills district,8578
34345,ribhoi district,2022,1,ribhoi district,25112
34346,west jaintia hills district,2022,1,west jaintia hills district,11952
34347,west khasi hills district,2022,1,west khasi hills district,6839
34348,north garo hills district,2022,2,north garo hills district,9312
34349,south west khasi hills district,2022,2,south west khasi hills district,2239
34350,west garo hills district,2022,2,west garo hills district,58178
34351,south garo hills district,2022,2,south garo hills district,7922
34352,east jaintia hills district,2022,2,east jaintia hills district,19314
34353,south west garo hills district,2022,2,south west garo hills district,9266
34354,east khasi hills district,2022,2,east khasi hills district,108330
34355,east garo hills district,2022,2,east garo hills district,9052
34356,ribhoi district,2022,2,ribhoi district,26541
34357,west jaintia hills district,2022,2,west jaintia hills district,12593
34358,west khasi hills district,2022,2,west khasi hills district,7196
34359,north garo hills district,2022,2,north garo hills district,9312
34360,south west khasi hills district,2022,2,south west khasi hills district,2239
34361,west garo hills district,2022,2,west garo hills district,58178
34362,south garo hills district,2022,2,south garo hills district,7922
34363,east jaintia hills district,2022,2,east jaintia hills district,19314
34364,south west garo hills district,2022,2,south west garo hills district,9266
34365,east khasi hills district,2022,2,east khasi hills district,108330
34366,east garo hills district,2022,2,east garo hills district,9052
34367,ribhoi district,2022,2,ribhoi district,26541
34368,west jaintia hills district,2022,2,west jaintia hills district,12593
34369,west khasi hills district,2022,2,west khasi hills district,7196
34370,north garo hills district,2022,2,north garo hills district,9312
34371,south west khasi hills district,2022,2,south west khasi hills district,2239
34372,west garo hills district,2022,2,west garo hills district,58178
34373,south garo hills district,2022,2,south garo hills district,7922
34374,east jaintia hills district,2022,2,east jaintia hills district,19314
34375,south west garo hills district,2022,2,south west garo hills district,9266
34376,east khasi hills district,2022,2,east khasi hills district,108330
34377,east garo hills district,2022,2,east garo hills district,9052
34378,ribhoi district,2022,2,ribhoi district,26541
34379,west jaintia hills district,2022,2,west jaintia hills district,12593
34380,west khasi hills district,2022,2,west khasi hills district,7196
34381,north garo hills district,2022,2,north garo hills district,9312
34382,south west khasi hills district,2022,2,south west khasi hills district,2239
34383,west garo hills district,2022,2,west garo hills district,58178
34384,south garo hills district,2022,2,south garo hills district,7922
34385,east jaintia hills district,2022,2,east jaintia hills district,19314
34386,south west garo hills district,2022,2,south west garo hills district,9266
34387,east khasi hills district,2022,2,east khasi hills district,108330
34388,east garo hills district,2022,2,east garo hills district,9052
34389,ribhoi district,2022,2,ribhoi district,26541
34390,west jaintia hills district,2022,2,west jaintia hills district,12593
34391,west khasi hills district,2022,2,west khasi hills district,7196
34392,north garo hills district,2022,3,north garo hills district,9773
34393,south west khasi hills district,2022,3,south west khasi hills district,2308
34394,west garo hills district,2022,3,west garo hills district,61273
34395,south garo hills district,2022,3,south garo hills district,8265
34396,east jaintia hills district,2022,3,east jaintia hills district,20320
34397,south west garo hills district,2022,3,south west garo hills district,9735
34398,east khasi hills district,2022,3,east khasi hills district,113816
34399,east garo hills district,2022,3,east garo hills district,9484
34400,ribhoi district,2022,3,ribhoi district,27844
34401,west jaintia hills district,2022,3,west jaintia hills district,13176
34402,west khasi hills district,2022,3,west khasi hills district,7493
34403,north garo hills district,2022,3,north garo hills district,9773
34404,south west khasi hills district,2022,3,south west khasi hills district,2308
34405,west garo hills district,2022,3,west garo hills district,61273
34406,south garo hills district,2022,3,south garo hills district,8265
34407,east jaintia hills district,2022,3,east jaintia hills district,20320
34408,south west garo hills district,2022,3,south west garo hills district,9735
34409,east khasi hills district,2022,3,east khasi hills district,113816
34410,east garo hills district,2022,3,east garo hills district,9484
34411,ribhoi district,2022,3,ribhoi district,27844
34412,west jaintia hills district,2022,3,west jaintia hills district,13176
34413,west khasi hills district,2022,3,west khasi hills district,7493
34414,north garo hills district,2022,3,north garo hills district,9773
34415,south west khasi hills district,2022,3,south west khasi hills district,2308
34416,west garo hills district,2022,3,west garo hills district,61273
34417,south garo hills district,2022,3,south garo hills district,8265
34418,east jaintia hills district,2022,3,east jaintia hills district,20320
34419,south west garo hills district,2022,3,south west garo hills district,9735
34420,east khasi hills district,2022,3,east khasi hills district,113816
34421,east garo hills district,2022,3,east garo hills district,9484
34422,ribhoi district,2022,3,ribhoi district,27844
34423,west jaintia hills district,2022,3,west jaintia hills district,13176
34424,west khasi hills district,2022,3,west khasi hills district,7493
